410906489042980;Newsgram;Media/news/publishing
115072611863171;1822direkt;Bank/financial institution
1456668907884178;Pro Whatsapp;Community
128941484791;Fireball Whisky;Wine/spirits
347775881990178;BlaBlaCar.de - Die Mitfahr-Community;Travel/leisure
208100133888;Der Bergdoktor;Actor/director
575672942523079;Historische Bilder und Ereignisse;Community
480006755383170;Life of Pi: Schiffbruch mit Tiger;Movie
209728121280;myDealZ - Schnäppchen, Gutscheine, Preisfehler;Website
205136696313;DealDoktor.de;Website
525322504242615;Antoines beste Ausschnitte;Community
181166661898172;Mein Nachmittag (NDR);Tv show
236486913157711;Interesting Things;Community
98775484985;HSV Supporters Club;Professional sports team
209500929175469;urlaubsguru.de;Local/travel website
152244254820340;Ich bin ein Star - Holt mich hier raus!;Tv show
92760728092;LG Electronics Deutschland;Electronics
230021760432901;Canon Deutschland;Camera/photo
45675197590;Original Wagner Pizza;Food/beverages
278565202257;Lidl;Retail and consumer merchandise
491215574288613;50 Shades of Britain;Community
377516372265138;HSV- Meine Liebe , mein Verein;Professional sports team
391872550895437;DEFA Märchen;Movie
180717992003316;Saturn Deutschland;Electronics
244944385603396;Candy Crush Saga;App page
255460697935920;Sex ist der geilste Sport;Education website
514635155245541;MyVideo Serien;Website
130218480387193;Mladen Petrić;Athlete
558115610896773;Hab ich da grad "Titten" gehört?;Fictional character
389082354534580;Initiative HSV PLUS;Non-profit organization
307370672742742;Beauty & the Beats;Musician/band
143303755734018;Batida de Côco;Wine/spirits
138019596394480;7 Sekunden Videos;Media/news/publishing
120920091290193;SFA Profil;News/media website
217889454969668;Land Rover Deutschland;Cars
132279126867549;Top Eleven - Be a Football Manager;App page
104230438773;Gamescom Köln - celebrate the games;Games/toys
138253359681412;MyVideo Filme;Website
153667544686219;Weltvogelpark Walsrode;Tours/sightseeing
103691969694927;MANschaftsbus;Travel/leisure
162150123918535;Pyro Games;Company
150933431669944;Hamburger DOM;Website
10150111386200265;SAUSALITOS;Food/beverages
120409127973461;stern TV;Tv show
1395795087298695;Studenten Rezepte;Kitchen/cooking
308714872532583;Samsung Deutschland;Computers/technology
510051032382967;Durstige Gesellen;Community
251104491625471;Benjamin Heinzel [photography];Company
96029103777;notebooksbilliger.de;Computers/technology
175810395877502;Holsten;Food/beverages
148989478468636;BUHL Gastronomie - Personal - Service;Company
134965399931045;Kühne Deutschland;Food/beverages
124105314341667;Dein Sky Sport;Tv channel
226139210774352;Media Markt Deutschland;Electronics
453150811428411;MasterCard;Bank/financial institution
143413039315;Olli Schulz;Musician/band
123948587638338;Cool Britannia;Shopping/retail
104653344178;Prinz Marcus von Anhalt;Public figure
114770205238479;London Pass;Company
154222704720799;Do-it-Yourself;Magazine
142600112443188;Olivia Jones;Public figure
336761774527;Die MÄNNER Seite;Entertainment website
135355113193396;Roseanne;Tv show
285985244854032;100.000 Menschen, die Rundfunkgebühren Scheiße finden;Community
114219621960016;Samsung Mobile;Product/service
257918384322819;Heidekreis / Soltau Fallingbostel Rettungs- Feuerwehr und Polizeimeldungen;News/media website
273058856113933;Samsung Mobile Deutschland;Telecommunication
146317722061229;callmobile;Telecommunication
158307244279033;Emirates;Travel/leisure
267714703349262;Every day I'm Russak;Community
101279473821;EA SPORTS FIFA (deutsch);Games/toys
207386435957025;bonusbox;Company
376089225758225;The World of Pictures Xperience - TWOPX;Media/news/publishing
76974959758;FIFA Ultimate Team;Games/toys
182848831765655;NDR.de;News/media website
356608214394810;Oscar's;Restaurant/cafe
203454076353031;René Adler;Athlete
132294760114;Shutter Island;Movie
166261933395456;Intouchables;Movie
91290503700;Inception;Movie
155226004615422;Hsv Vs Ajax Amsterdam, Heidmark Stadion Bad Fallingbostel;Local business
230582133666675;Rafael van der Vaart;Athlete
114675675346630;Jessica Brüggemann;Musician/band
36272777002;Elton;Public figure
101967384183;simyo Deutschland;Telecommunication
119410741469917;DFB-Team;Professional sports team
236666397200;yaBeat;Local business
201672210934;NERVO;Musician/band
141727802539968;Amazon.de;Retail and consumer merchandise
102473039836848;BFG Cars for sale;Community
222486181751;Gutscheinaffe;Website
166100736787254;Kumho Tire Europe GmbH;Automobiles and parts
294714310587254;Kniffel;App page
216186925072052;Berlin - Tag & Nacht;Tv show
109679992391333;Bad Fallingbostel;City
251146681614268;mein Klub - Bundesliga;App page
251353808252087;A Beautiful Mind;Movie
90861737919;Eventim - DE;Company
132215206835882;Studio78;Food/beverages
118429398236170;Gefällt mir nicht;Entertainment website
131804703563360;Saving Private Ryan;Movie
25604775729;Bild;News/media website
124651027557566;PHOENIX;Tv channel
117048798393053;Nachgehakt - Die Bundesliga-Kolumne von Alfred Draxler;Author
170146969676385;BILD Sport;News/media website
176082939105044;Hamburger SV;Professional sports team
19691681472;Michael Jackson;Musician/band
206652886034305;Kurt Krömer;Comedian
288802862393;BFG ARMY STUFF;Community organization
9098498615;Adam Sandler;Actor/director
108455735845367;Dirty Sanchez;Tv show
7619396355;David Guetta;Musician/band
142660589128609;BFG Celle Bay;Public places
51323411925;Karl-Theodor zu Guttenberg;Politician
125797237471539;Mario Barth;Comedian
72223358102;Frank Rost;Athlete
74420434116;HSV;Professional sports team
237837278879;Transfermarkt.de;News/media website
106599806045924;PromiFlash;News/media website
117149518345777;Markus Lanz;Tv show
104035532966355;Stern TV;Tv show
29534858696;The Simpsons;Tv show
36211311648;Two and a Half Men;Tv show
91689589085;Saw;Movie
132187376810512;Apocalypse Now;Movie
112616965418113;The Football Factory;Movie
11710140063;This is England;Movie
108424285852037;Equilibrium;Movie
15480136831;Scarface™;Movie
111969397659;Avatar;Movie
42503478659;The Band Of Brother;Movie
7724542745;Manchester United;Professional sports team
105680399466437;Hamburger SV;Professional sports team
107442019285395;David Purley;Public figure
124846767539963;Faithless -- Insomnia;Video
104310709609269;Fallingbostel, Niedersachsen, Germany;City
90114886999;Being English;Personal blog
103486613019893;Waterfront Bremen;Company
102536014286;Poker-Bundesliga.com;Travel/leisure
