companyName;2009-08-27;http://www.freep.com/article/20090827/BUSINESS01/90827030/1014/rss13;Ford Motor Co.;F;
companyName;2009-08-27;http://www.detnews.com/article/20090827/OPINION03/908270376/1148/rss25;General Motors Corp.;GMGMQ;Chevrolet,Detroit,automobile company,Bankruptcy,microphone,Headphone,Des Moines
companyName;2009-08-27;http://www.detnews.com/article/20090827/AUTO01/908270353/1148/rss25;Fiat,Chrysler LLC,Daimler AG;;Frankfurt,auto show,Bankruptcy,automobile company,agreement,product development,vision
companyName;2009-08-27;http://www.detnews.com/article/20090827/AUTO01/908270354/1148/rss25;Tesla Motors Inc.;;Electric Car,car,Battery,Germany,Berlin,Chevrolet,sports car
companyName;2009-08-27;http://www.detnews.com/article/20090827/AUTO01/908270428/1148/rss25;Chrysler LLC,Toyota Motor Corp.;TM;sales,Detroit,automobile company,car,incentive program,SUV,incentive
companyName;2009-08-27;http://www.just-auto.com/article.aspx?id=100889;Saab;;Frankfurt
tags;2009-08-27;http://blogs.consumerreports.org/cars/2009/08/cars-vs-houses-what-consumers-more-energy-petroleum.html;;;car,alternative fuel,petroleum,Electric Car,hybrid car,U.S.,window
companyName;2009-08-27;http://www.just-auto.com/article.aspx?id=100888;General Motors Corp.;GMGMQ;Apple iPod,Chevrolet,South Korea,Korea,GM Daewoo
companyName;2009-08-27;http://www.just-auto.com/article.aspx?id=100887;Volvo;;Sweden,analyst,sales
companyName;2009-08-27;http://www.msnbc.msn.com/id/32582761/ns/business-autos/;General Motors Corp.,Toyota Motor Corp.;GMGMQ,TM;California,CCCC,financial incentive,Fremont,car,spokeswoman,financial,worker
