ID_MAIN;LABEL_MAIN;ID_LOOKUP_ALL_MATCHES;LABEL_LOOKUP_ALL_MATCHES;BIGDECIMAL_LOOKUP_ALL_MATCHES;ID_LOOKUP_FIRST_MATCH;BIGDECIMAL_LOOKUP_FIRST_MATCH;LABEL_LOOKUP_FIRST_MATCH;ID_LOOKUP_LAST_MATCH;BIGDECIMAL_LOOKUP_LAST_MATCH;LABEL_LOOKUP_LAST_MATCH;ID_LOOKUP_UNIQUE_MATCH;LABEL_LOOKUP_UNIQUE_MATCH;BIGDECIMAL_LOOKUP_UNIQUE_MATCH;ID_LOOKUP_ALL_ROWS;BIGDECIMAL_LOOKUP_ALL_ROWS;LABEL_LOOKUP_ALL_ROWS
1;1_MAIN_A;1;1_LOOKUP_AAAAAAAAAAA;;1;;1_LOOKUP_AAAAAAAAAAA;1;;1_LOOKUP_A;1;1_LOOKUP_A;;1;;1_LOOKUP_AAAAAAAAAAA
1;1_MAIN_A;1;1_LOOKUP_AAAAAAAAAAA;;1;;1_LOOKUP_AAAAAAAAAAA;1;;1_LOOKUP_A;1;1_LOOKUP_A;;1;;1_LOOKUP_AA
1;1_MAIN_A;1;1_LOOKUP_AAAAAAAAAAA;;1;;1_LOOKUP_AAAAAAAAAAA;1;;1_LOOKUP_A;1;1_LOOKUP_A;;1;;1_LOOKUP_A
1;1_MAIN_A;1;1_LOOKUP_AAAAAAAAAAA;;1;;1_LOOKUP_AAAAAAAAAAA;1;;1_LOOKUP_A;1;1_LOOKUP_A;;2;0.0;2_LOOKUP_BBBB
1;1_MAIN_A;1;1_LOOKUP_AAAAAAAAAAA;;1;;1_LOOKUP_AAAAAAAAAAA;1;;1_LOOKUP_A;1;1_LOOKUP_A;;2;0.0;2_LOOKUP_BBB
1;1_MAIN_A;1;1_LOOKUP_AAAAAAAAAAA;;1;;1_LOOKUP_AAAAAAAAAAA;1;;1_LOOKUP_A;1;1_LOOKUP_A;;2;0.0;2_LOOKUP_BBBBBBBBBBBB
1;1_MAIN_A;1;1_LOOKUP_AAAAAAAAAAA;;1;;1_LOOKUP_AAAAAAAAAAA;1;;1_LOOKUP_A;1;1_LOOKUP_A;;3;0.0;3_LOOKUP_CCCCCCCCCCC
1;1_MAIN_A;1;1_LOOKUP_AAAAAAAAAAA;;1;;1_LOOKUP_AAAAAAAAAAA;1;;1_LOOKUP_A;1;1_LOOKUP_A;;3;0.0;3_LOOKUP_CCCCC
1;1_MAIN_A;1;1_LOOKUP_AAAAAAAAAAA;;1;;1_LOOKUP_AAAAAAAAAAA;1;;1_LOOKUP_A;1;1_LOOKUP_A;;3;0.0;3_LOOKUP_CCCCCC
1;1_MAIN_A;1;1_LOOKUP_AAAAAAAAAAA;;1;;1_LOOKUP_AAAAAAAAAAA;1;;1_LOOKUP_A;1;1_LOOKUP_A;;4;0.05;4_LOOKUP_DDDDDDDD
