1748260.0;GE GLOBAL CONSUMER FINANCE;4125 WINDWARD PLZ;ALPHARETTA;GA;2;1;true;1.0;1.0
1244645.0;GANAHL LUMBER;1220 E BALL RD;ANAHEIM;CA;3;1;true;1.0;1.0
1359417.0;GANNETT CO;PO BOX 59;APPLETON;WI;5;1;true;1.0;1.0
1236857.0;GANNETT MIDWEST NEWSP (APS);SHEBOYGAN PRESS;APPLETON;WI;6;1;true;1.0;1.0
1253542.0;GCW CARPET WHOLESALERS INC.;44 W LANCASTER AVE - STE 210;ARDMORE;PA;8;1;true;1.0;1.0
1236698.0;GANNETT (APS);1100 WILSON BLVD;ARLINGTON;VA;9;1;true;1.0;1.0
1364839.0;GADDIS PARTNERS LTD.;1806 RIO GRANDE ST;AUSTIN;TX;10;1;true;1.0;1.0
1237502.0;GAZETTE THE (APS);1556 SALEM ROAD;BEAUFORT;SC;12;1;true;1.0;1.0
1363499.0;GARY GOLD;250 N CANON DR 2F;BEVERLY HILLS;CA;13;1;true;1.0;1.0
1752444.0;GEARYS OF BEVERLY HILLS;351 N BEVERLY DR;BEVERLY HILLS;CA;14;1;true;1.0;1.0
1354156.0;GANDER MOUNTAIN;4567 W 80TH ST;BLOOMINGTON;MN;15;1;true;1.0;1.0
1358529.0;GEBHARDT MOTORS INC. BMW;4740 VALMONT ROAD;BOULDER;CO;16;1;true;1.0;1.0
1357439.0;GEBHARDT SAAB;3150 28TH ST;BOULDER;CO;17;1;true;1.0;1.0
1236544.0;GANNETT--THE COURIER NEWS;1202 RTE 22;BRIDGEWATER;NJ;18;1;true;1.0;1.0
1366660.0;GAIAM INC.;360 INTERLOCKEN BLVD.;BROOMFIELD;CO;19;1;true;1.0;1.0
1358594.0;GAMEQUESTDIRECT;8322 ARTESIA BLVD. UNIT B;BUENA PARK;CA;20;1;true;1.0;1.0
1736079.0;Gardener's Supply Company;128 Intervale Road;Burlington;VT;21;1;true;1.0;1.0
1362022.0;GANNETT FLEMING INC;;CAMP HILL;PA;22;1;true;1.0;1.0
1256111.0;ACME FOOD INC--LANDOVER*;PO BOX 7500;CARLISLE;PA;24;1;true;1.0;1.0
1244404.0;GADZOOKS 21 INC;4121 INTERNATIONAL PKWY;CARROLLTON;TX;26;1;true;1.0;1.0
1357728.0;GAMEGUARD;1301 CENTURY DRIVE;CARROLLTON;TX;27;1;true;1.0;1.0
1236840.0;GANNETT--COURIER POST;PO BOX 5300;CHERRY HILL;NJ;28;1;true;1.0;1.0
1364098.0;GAMS GROUP;500 N MICHIGAN AVE;CHICAGO;IL;29;1;true;1.0;1.0
1754023.0;GATEWAY FOUNDATION;55 E JACKSON BLVD;CHICAGO;IL;31;1;true;1.0;1.0
1245767.0;GANNETT--CINCINNATI ENQUIRER;312 ELM ST;CINCINNATI;OH;32;1;true;1.0;1.0
1237050.0;GAZETTE THE (APS);305 PROSPECT ST;COLORADO SPRINGS;CO;34;1;true;1.0;1.0
1243642.0;GATEWAY SUPPLY COMPANY  INC;1312 HAMRICK ST;COLUMBIA;SC;35;1;true;1.0;1.0
1243375.0;GATES  MCDONALD & COMPANY;215 N FRONT ST;COLUMBUS;OH;36;1;true;1.0;1.0
1243376.0;GB STORES INC;3241 WESTERVILLE RD;COLUMBUS;OH;37;1;true;1.0;1.0
1347316.0;GB DESIGN;265 MESA DRIVE SUITE A;COSTA MESA;CA;38;1;true;1.0;1.0
1747708.0;GAINES STANLEY;3915 LEMMON AVE;DALLAS;TX;39;1;true;1.0;1.0
