Citroën;Lyon;9481
Citroën;Toulouse;8335
Citroën;Nice;7236
Citroën;Paris;39207
Citroën;Marseille;14732
Citroën;Lyon;8272
Citroën;Toulouse;7272
Citroën;Nice;6313
Citroën;Paris;16206
Citroën;Marseille;6089
Citroën;Lyon;3419
Citroën;Toulouse;3006
Citroën;Nice;2609
Citroën;Paris;14269
Citroën;Marseille;5361
Citroën;Toulouse;2646
Citroën;Nice;2297
Ford;Paris;25232
Ford;Marseille;9481
Ford;Lyon;5323
Ford;Toulouse;4680
Ford;Nice;4063
Ford;Paris;15176
Ford;Marseille;5702
Ford;Lyon;3202
Ford;Toulouse;2815
Ford;Nice;2443
Mercedes;Paris;8530
Mercedes;Marseille;3205
Mercedes;Lyon;1799
Mercedes;Toulouse;1582
Mercedes;Nice;1373
Opel;Paris;13428
Opel;Marseille;5046
Opel;Lyon;2833
Opel;Toulouse;2491
Opel;Nice;2162
Opel;Paris;12882
Opel;Marseille;4840
Opel;Lyon;2718
Opel;Toulouse;2389
Opel;Nice;2074
Opel;Paris;12682
Opel;Marseille;4765
Opel;Lyon;2675
Opel;Toulouse;2352
Opel;Nice;2042
Opel;Paris;10816
Opel;Marseille;4064
Opel;Lyon;2282
Opel;Toulouse;2006
Opel;Nice;1741
Peugeot;Paris;78234
Peugeot;Marseille;29397
Peugeot;Lyon;16507
Peugeot;Toulouse;14512
Peugeot;Nice;12598
Peugeot;Paris;69289
Peugeot;Marseille;26035
Peugeot;Lyon;14619
Peugeot;Toulouse;12852
Peugeot;Nice;11158
Peugeot;Paris;19247
Peugeot;Marseille;7232
Peugeot;Lyon;4061
Peugeot;Toulouse;3570
Peugeot;Nice;3099
Renault;Paris;115489
Renault;Marseille;43395
Renault;Lyon;24367
Renault;Toulouse;21422
Renault;Nice;18598
Renault;Paris;71146
Renault;Marseille;26733
Renault;Lyon;15011
Renault;Toulouse;13197
Renault;Nice;11457
Renault;Paris;24672
Renault;Marseille;9270
Renault;Lyon;5205
Renault;Toulouse;4576
Renault;Nice;3973
Renault;Paris;24369
Renault;Marseille;9157
Renault;Lyon;5141
Renault;Toulouse;4520
Renault;Nice;3924
Renault;Paris;16524
Renault;Marseille;6209
Renault;Lyon;3486
Renault;Toulouse;3065
Renault;Nice;2661
Renault;Paris;12688
Renault;Marseille;4767
Renault;Lyon;2677
Renault;Toulouse;2353
Renault;Nice;2043
Seat;Paris;9358
Seat;Marseille;3516
Seat;Lyon;1974
Seat;Toulouse;1735
Seat;Nice;1507
Toyota;Paris;14853
Toyota;Marseille;5581
Toyota;Lyon;3134
Toyota;Toulouse;2755
Toyota;Nice;2392
Volkswagen;Paris;22088
Volkswagen;Marseille;8299
Volkswagen;Lyon;4660
Volkswagen;Toulouse;4097
Volkswagen;Nice;3557
Volkswagen;Paris;15453
Volkswagen;Marseille;5806
Volkswagen;Lyon;3260
Volkswagen;Toulouse;2866
Volkswagen;Nice;2488
Volkswagen;Paris;11500
Volkswagen;Marseille;4321
Volkswagen;Lyon;2426
Volkswagen;Toulouse;2133
Volkswagen;Nice;1851
Citroën;Paris;51676
Citroën;Marseille;19417
Citroën;Lyon;10903
Citroën;Toulouse;9585
Citroën;Nice;8321
