100377,M,Danniel ,2
100629,M,Joel ,2
100677,M,Germaine,2
106078, ,Sebastianós,2
110693,F,Margarita,2
110697,F,Delphine ,2
116880, ,Aleksandra,4
1771, ,François Xavier ,2
1775, ,Christian ,3
1777, ,Michael ,2
1785, ,Didier ,1
1806, ,Edouard,2
1810, ,Hendrikus,3
1813, ,Robert ,2
1843, ,Albert  ,2
1865, ,Ronald ,2
1871, ,Vincenzo,2
1878,M,Fernande,2
1890, ,Jean-Pascal ,3
1905, ,Jean-Jacques  ,2
1909, ,Yolande ,2
1912, ,Gregory ,1
1982, ,Lionel ,2
1991,M,Benoît ,2
2026, ,Emmanouél,4
2035, ,Ernestina,2
2054,M,Stéphanie ,4
2066, ,Anthony ,1
2132, ,Nathalie,2
2148, ,Nikolaas,2
2259, ,Alexandre ,2
2379, ,Michael,2
266467,,Marie-Therese,2
266851,M,Edgard,2
266965,F,Katrina ,2
454750,M,Clément ,2
93708,3,Catherine2,2
