France;Anne;Ninon;Annie;Ninette;Ann;;;;
France;Bernadette;Nad;Netty;Dadette;;;;;
France;Albert  ;Al  ;;;;;;;
France;Alexandre ;Alex  ;;;;;;;
France;Alfred-Hubert ;Alu;;;;;;;
France;André;Dédé  ;;;;;;;
France;Didier ;Dédé  ;;;;;;;
France;Anthony ;Anton;Tony;Tonio;;;;;
France;Artus ;Artie  ;;;;;;;
France;Benoît ;Ben  ;;;;;;;
France;Catherine ;Cate;Katherine ;Kathryn;;;;;
France;Charles;Charlie ;Charlot;Chuck;;;;;
France;Christophe;Christian ;Chris  ;Kris;Kristof;;;;
France;Christian ;Chris;;;;;;;
France;Clément ;Clem'  ;;;;;;;
France;Danniel ; Danny  ;;;;;;;
France;Elisabeth;Liz;Lison;;;;;;
France;Maxime;Max;;;;;;;
France;Emile;Milo;;;;;;;
France;Gregory ;Greg  ;;;;;;;
France;Jean-Jacques  ;JJ;;;;;;;
France;Jean-Philippe;Jipi  ;Jean-Phi;;;;;;
France;Jérémie  ;Jérem'  ;;;;;;;
France;Jonathan;Jo;;;;;;;
France;Joel ;Jo;;;;;;;
France;Joseph;Joey  ;Jo;Djoï;;;;;
France;Julien;Juju;Jul  ;;;;;;
France;Juliette;Juju;Jul  ;;;;;;
France;Marcel;Cello;;;;;;;
France;Marie-Louise;Malou;;;;;;;
France;Marie-Thérèse;Marité;;;;;;;
France;Thérèse;Tité;;;;;;;
France;Michel;Michou;;;;;;;
France;Samuel;Sam;;;;;;;
France;Kathleen ; Katie ;;;;;;;
France;Kevin ;Kev  ;;;;;;;
France;Madeleine;Mado  ;;;;;;;
France;Nicolas ;Nico  ;Nick;;;;;;
France;Pierre ;Pierrot;;;;;;;
France;Richard ;Dick;;;;;;;
France;Sophie ;Sof  ;Sotho;Sophinia;Philie;;;;
France;Stéphanie ;Stef  ;;;;;;;
France;Steven ;Steve;;;;;;;
France;William;Bill;;;;;;;
France;Yannick ;Yan  ;;;;;;;
France;Benjamin ;BenJ  ;Ben;;;;;;
France;Catherine;Cath  ;;;;;;;
France;Christophe ;Tof  ;;;;;;;
France;Clarabelle ;Clara  ;;;;;;;
France;Daniel;Dan  ;;;;;;;
France;David; Dave ;;;;;;;
France;Davy; Dave ;;;;;;;
France;Deborah ;Debbie ;Debs  ;Deb;;;;;
France;Delphine ; Delf  ;;;;;;;
France;Douglas ;Doug  ;;;;;;;
France;Germaine;Mèmène;;;;;;;
France;Fernande;Nanande;;;;;;;
France;Edgar;Ed ;Eddy  ;;;;;;
France;Edouard ;Ed ;Eddy  ;;;;;;
France;Emmanuel;Manu ;Mano;;;;;;
France;Ernest ;Ernie  ;;;;;;;
France;Fabien;Fab ;;;;;;;
France;Gregory;Greg ;;;;;;;
France;Guillaume ;Gui  ;;;;;;;
France;James ;Jim  ;;;;;;;
France;Jean-Baptiste ; JB  ;Jibus;Jibe  ;;;;;
France;Jean-François ;JF;;;;;;;
France;Jean-Pascal ;JP  ;;;;;;;
France;Jean-Paul ;Paulo  ;;;;;;;
France;Jennifer ;Jenny  ;Jen ;;;;;;
France;Julien;Dju ;;;;;;;
France;Katrina ;Katie  ;Kate ;;;;;;
France;Samantha;Sam;;;;;;;
France;Lionel ;Lio  ;;;;;;;
France;Matthew ;Matt  ;;;;;;;
France;Mathieu;Matt  ;;;;;;;
France;Mathias;Matt  ;;;;;;;
France;Michaël;Mike; Micky  ;;;;;;
France;Michael ;Mike  ;;;;;;;
