;;1;1; ; ;2.0;2.0;3.0;3.0;4;4;5;5;6;6
true;true;;; ; ;4.4;4.4;5.5;5.5;6;6;7;7;8;8
true;true;2;2;;;15.8;15.8;21.3;21.3;24;24;33;33;21;21
false;false;21;21; ; ;;;21.0;21.0;43;43;12;12;36;36
true;true;70;70; ; ;10.0;10.0;12.0;12.0;20;20;30;30;32;32
false;false;23;23; ; ;12.12;12.12;;;56;56;12;12;15;15
true;true;36;36; ; ;0.0;0.0;33.0;33.0;;;0;0;12;12
true;true;15;15; ; ;24.0;24.0;5.0;5.0;65;65;;;33;33
false;false;10;10; ; ;0.8;0.8;0.24;0.24;33;33;36;36;;
false;false;10;10; ; ;77.0;77.0;33.0;33.0;26;26;12;12;43;43
