0;1;1
0;2;1
0;3;2
0;4;3
0;5;5
0;6;8
0;7;13
0;8;21
0;9;34
0;10;55
0;11;89
0;12;144
0;13;233
0;14;377
0;15;610
0;16;987
0;17;1597
0;18;2584
0;19;4181
0;20;6765
0;21;10946
0;22;17711
0;23;28657
0;24;46368
0;25;75025
0;26;121393
0;27;196418
0;28;317811
0;29;514229
0;30;832040
0;31;1346269
0;32;2178309
0;33;3524578
0;34;5702887
0;35;9227465
0;36;14930352
0;37;24157817
0;38;39088169
0;39;63245986
0;40;102334155
0;41;165580141
0;42;267914296
0;43;433494437
0;44;701408733
0;45;1134903170
0;46;1836311903
0;47;2971215073
