2;MAIN ligne2;2;LOOKUP ligne3;2;2;LOOKUP ligne3
2;MAIN ligne2;2;LOOKUP ligne3;2;2;LOOKUP ligne5
2;MAIN ligne2;2;LOOKUP ligne3;2;2;LOOKUP ligne8
2;MAIN ligne2;2;LOOKUP ligne5;2;2;LOOKUP ligne3
2;MAIN ligne2;2;LOOKUP ligne5;2;2;LOOKUP ligne5
2;MAIN ligne2;2;LOOKUP ligne5;2;2;LOOKUP ligne8
2;MAIN ligne2;2;LOOKUP ligne8;2;2;LOOKUP ligne3
2;MAIN ligne2;2;LOOKUP ligne8;2;2;LOOKUP ligne5
2;MAIN ligne2;2;LOOKUP ligne8;2;2;LOOKUP ligne8
4;MAIN ligne4;4;LOOKUP ligne4;4;4;LOOKUP ligne4
7;MAIN ligne7;7;LOOKUP ligne7;7;7;LOOKUP ligne7
7;MAIN ligne7;7;LOOKUP ligne7;7;7;LOOKUP ligne10
7;MAIN ligne7;7;LOOKUP ligne10;7;7;LOOKUP ligne7
7;MAIN ligne7;7;LOOKUP ligne10;7;7;LOOKUP ligne10
