1;hummar;B;2010-08-21;15.3;15.2;20.112;123456;45
2;hammer;B;2010-08-21;15.3;15.2;20.112;123456;45
3;shelf;B;2010-08-21;15.3;15.2;20.112;123456;45
4;humour;B;2010-08-21;15.3;15.2;20.112;123456;45
5;kind;B;2010-08-21;15.3;15.2;20.112;123456;45
6;nice;B;2010-08-21;15.3;15.2;20.112;123456;45
7;good;A;2010-08-21;15.3;15.2;20.112;123456;45
8;well;A;2010-08-21;15.3;15.2;20.112;123456;45
9;nice;A;2010-08-21;15.3;15.2;20.112;123456;45
10;intelligent;A;2010-08-21;15.3;15.2;20.112;123456;45
11;wise;A;2010-08-21;15.3;15.2;20.112;123456;45
12;logic;A;2010-08-21;15.3;15.2;20.112;123456;45
13;amazing;A;2010-08-21;15.3;15.2;20.112;123456;45
14;fantacy;A;2010-08-21;15.3;15.2;20.112;123456;45
15;physic;A;2010-08-21;15.3;15.2;20.112;123456;45
16;science;A;2010-08-21;15.3;15.2;20.112;123456;45
17;quit;A;2010-08-21;15.3;15.2;20.112;123456;45
18;quiet;A;2010-08-21;15.3;15.2;20.112;123456;45
