ID_MAIN;LABEL_MAIN;ID_LOOKUP_ALL_MATCHES;LABEL_LOOKUP_ALL_MATCHES;ID_LOOKUP_ALL_ROWS;LABEL_LOOKUP_ALL_ROWS;ID_LOOKUP_ALL_MATCHES_1;LABEL_LOOKUP_ALL_MATCHES_1;ID_LOOKUP_ALL_ROWS_5;LABEL_LOOKUP_ALL_ROWS_5;ID_LOOKUP_FIRST_MATCH;LABEL_LOOKUP_FIRST_MATCH;ID_LOOKUP_LAST_MATCH;LABEL_LOOKUP_LAST_MATCH;ID_LOOKUP_ALL_ROWS_3;LABEL_LOOKUP_ALL_ROWS_3;ID_LOOKUP_ALL_ROWS_4;LABEL_LOOKUP_ALL_ROWS_4;ID_LOOKUP_UNIQUE_MATCH;LABEL_LOOKUP_UNIQUE_MATCH
1;1_MAIN_A;1;1_LOOKUP_A;1;1_LOOKUP_A;1;1_LOOKUP_A;1;1_LOOKUP_A;1;1_LOOKUP_A;1;1_LOOKUP_A;1;1_LOOKUP_A;1;1_LOOKUP_A;1;1_LOOKUP_A
1;1_MAIN_A;1;1_LOOKUP_A;1;1_LOOKUP_A;1;1_LOOKUP_A;1;1_LOOKUP_A;1;1_LOOKUP_A;1;1_LOOKUP_A;1;1_LOOKUP_A;2;2_LOOKUP_BB;1;1_LOOKUP_A
1;1_MAIN_A;1;1_LOOKUP_A;1;1_LOOKUP_A;1;1_LOOKUP_A;1;1_LOOKUP_A;1;1_LOOKUP_A;1;1_LOOKUP_A;2;2_LOOKUP_BB;1;1_LOOKUP_A;1;1_LOOKUP_A
1;1_MAIN_A;1;1_LOOKUP_A;1;1_LOOKUP_A;1;1_LOOKUP_A;1;1_LOOKUP_A;1;1_LOOKUP_A;1;1_LOOKUP_A;2;2_LOOKUP_BB;2;2_LOOKUP_BB;1;1_LOOKUP_A
1;1_MAIN_A;1;1_LOOKUP_A;1;1_LOOKUP_A;1;1_LOOKUP_A;2;2_LOOKUP_BB;1;1_LOOKUP_A;1;1_LOOKUP_A;1;1_LOOKUP_A;1;1_LOOKUP_A;1;1_LOOKUP_A
1;1_MAIN_A;1;1_LOOKUP_A;1;1_LOOKUP_A;1;1_LOOKUP_A;2;2_LOOKUP_BB;1;1_LOOKUP_A;1;1_LOOKUP_A;1;1_LOOKUP_A;2;2_LOOKUP_BB;1;1_LOOKUP_A
1;1_MAIN_A;1;1_LOOKUP_A;1;1_LOOKUP_A;1;1_LOOKUP_A;2;2_LOOKUP_BB;1;1_LOOKUP_A;1;1_LOOKUP_A;2;2_LOOKUP_BB;1;1_LOOKUP_A;1;1_LOOKUP_A
1;1_MAIN_A;1;1_LOOKUP_A;1;1_LOOKUP_A;1;1_LOOKUP_A;2;2_LOOKUP_BB;1;1_LOOKUP_A;1;1_LOOKUP_A;2;2_LOOKUP_BB;2;2_LOOKUP_BB;1;1_LOOKUP_A
1;1_MAIN_A;1;1_LOOKUP_A;2;2_LOOKUP_BB;1;1_LOOKUP_A;1;1_LOOKUP_A;1;1_LOOKUP_A;1;1_LOOKUP_A;1;1_LOOKUP_A;1;1_LOOKUP_A;1;1_LOOKUP_A
1;1_MAIN_A;1;1_LOOKUP_A;2;2_LOOKUP_BB;1;1_LOOKUP_A;1;1_LOOKUP_A;1;1_LOOKUP_A;1;1_LOOKUP_A;1;1_LOOKUP_A;2;2_LOOKUP_BB;1;1_LOOKUP_A
1;1_MAIN_A;1;1_LOOKUP_A;2;2_LOOKUP_BB;1;1_LOOKUP_A;1;1_LOOKUP_A;1;1_LOOKUP_A;1;1_LOOKUP_A;2;2_LOOKUP_BB;1;1_LOOKUP_A;1;1_LOOKUP_A
1;1_MAIN_A;1;1_LOOKUP_A;2;2_LOOKUP_BB;1;1_LOOKUP_A;1;1_LOOKUP_A;1;1_LOOKUP_A;1;1_LOOKUP_A;2;2_LOOKUP_BB;2;2_LOOKUP_BB;1;1_LOOKUP_A
1;1_MAIN_A;1;1_LOOKUP_A;2;2_LOOKUP_BB;1;1_LOOKUP_A;2;2_LOOKUP_BB;1;1_LOOKUP_A;1;1_LOOKUP_A;1;1_LOOKUP_A;1;1_LOOKUP_A;1;1_LOOKUP_A
1;1_MAIN_A;1;1_LOOKUP_A;2;2_LOOKUP_BB;1;1_LOOKUP_A;2;2_LOOKUP_BB;1;1_LOOKUP_A;1;1_LOOKUP_A;1;1_LOOKUP_A;2;2_LOOKUP_BB;1;1_LOOKUP_A
1;1_MAIN_A;1;1_LOOKUP_A;2;2_LOOKUP_BB;1;1_LOOKUP_A;2;2_LOOKUP_BB;1;1_LOOKUP_A;1;1_LOOKUP_A;2;2_LOOKUP_BB;1;1_LOOKUP_A;1;1_LOOKUP_A
1;1_MAIN_A;1;1_LOOKUP_A;2;2_LOOKUP_BB;1;1_LOOKUP_A;2;2_LOOKUP_BB;1;1_LOOKUP_A;1;1_LOOKUP_A;2;2_LOOKUP_BB;2;2_LOOKUP_BB;1;1_LOOKUP_A
2;2_MAIN_BB;2;2_LOOKUP_BB;1;1_LOOKUP_A;2;2_LOOKUP_BB;1;1_LOOKUP_A;2;2_LOOKUP_BB;2;2_LOOKUP_BB;1;1_LOOKUP_A;1;1_LOOKUP_A;2;2_LOOKUP_BB
2;2_MAIN_BB;2;2_LOOKUP_BB;1;1_LOOKUP_A;2;2_LOOKUP_BB;1;1_LOOKUP_A;2;2_LOOKUP_BB;2;2_LOOKUP_BB;1;1_LOOKUP_A;2;2_LOOKUP_BB;2;2_LOOKUP_BB
2;2_MAIN_BB;2;2_LOOKUP_BB;1;1_LOOKUP_A;2;2_LOOKUP_BB;1;1_LOOKUP_A;2;2_LOOKUP_BB;2;2_LOOKUP_BB;2;2_LOOKUP_BB;1;1_LOOKUP_A;2;2_LOOKUP_BB
2;2_MAIN_BB;2;2_LOOKUP_BB;1;1_LOOKUP_A;2;2_LOOKUP_BB;1;1_LOOKUP_A;2;2_LOOKUP_BB;2;2_LOOKUP_BB;2;2_LOOKUP_BB;2;2_LOOKUP_BB;2;2_LOOKUP_BB
2;2_MAIN_BB;2;2_LOOKUP_BB;1;1_LOOKUP_A;2;2_LOOKUP_BB;2;2_LOOKUP_BB;2;2_LOOKUP_BB;2;2_LOOKUP_BB;1;1_LOOKUP_A;1;1_LOOKUP_A;2;2_LOOKUP_BB
2;2_MAIN_BB;2;2_LOOKUP_BB;1;1_LOOKUP_A;2;2_LOOKUP_BB;2;2_LOOKUP_BB;2;2_LOOKUP_BB;2;2_LOOKUP_BB;1;1_LOOKUP_A;2;2_LOOKUP_BB;2;2_LOOKUP_BB
2;2_MAIN_BB;2;2_LOOKUP_BB;1;1_LOOKUP_A;2;2_LOOKUP_BB;2;2_LOOKUP_BB;2;2_LOOKUP_BB;2;2_LOOKUP_BB;2;2_LOOKUP_BB;1;1_LOOKUP_A;2;2_LOOKUP_BB
2;2_MAIN_BB;2;2_LOOKUP_BB;1;1_LOOKUP_A;2;2_LOOKUP_BB;2;2_LOOKUP_BB;2;2_LOOKUP_BB;2;2_LOOKUP_BB;2;2_LOOKUP_BB;2;2_LOOKUP_BB;2;2_LOOKUP_BB
2;2_MAIN_BB;2;2_LOOKUP_BB;2;2_LOOKUP_BB;2;2_LOOKUP_BB;1;1_LOOKUP_A;2;2_LOOKUP_BB;2;2_LOOKUP_BB;1;1_LOOKUP_A;1;1_LOOKUP_A;2;2_LOOKUP_BB
2;2_MAIN_BB;2;2_LOOKUP_BB;2;2_LOOKUP_BB;2;2_LOOKUP_BB;1;1_LOOKUP_A;2;2_LOOKUP_BB;2;2_LOOKUP_BB;1;1_LOOKUP_A;2;2_LOOKUP_BB;2;2_LOOKUP_BB
2;2_MAIN_BB;2;2_LOOKUP_BB;2;2_LOOKUP_BB;2;2_LOOKUP_BB;1;1_LOOKUP_A;2;2_LOOKUP_BB;2;2_LOOKUP_BB;2;2_LOOKUP_BB;1;1_LOOKUP_A;2;2_LOOKUP_BB
2;2_MAIN_BB;2;2_LOOKUP_BB;2;2_LOOKUP_BB;2;2_LOOKUP_BB;1;1_LOOKUP_A;2;2_LOOKUP_BB;2;2_LOOKUP_BB;2;2_LOOKUP_BB;2;2_LOOKUP_BB;2;2_LOOKUP_BB
2;2_MAIN_BB;2;2_LOOKUP_BB;2;2_LOOKUP_BB;2;2_LOOKUP_BB;2;2_LOOKUP_BB;2;2_LOOKUP_BB;2;2_LOOKUP_BB;1;1_LOOKUP_A;1;1_LOOKUP_A;2;2_LOOKUP_BB
2;2_MAIN_BB;2;2_LOOKUP_BB;2;2_LOOKUP_BB;2;2_LOOKUP_BB;2;2_LOOKUP_BB;2;2_LOOKUP_BB;2;2_LOOKUP_BB;1;1_LOOKUP_A;2;2_LOOKUP_BB;2;2_LOOKUP_BB
2;2_MAIN_BB;2;2_LOOKUP_BB;2;2_LOOKUP_BB;2;2_LOOKUP_BB;2;2_LOOKUP_BB;2;2_LOOKUP_BB;2;2_LOOKUP_BB;2;2_LOOKUP_BB;1;1_LOOKUP_A;2;2_LOOKUP_BB
2;2_MAIN_BB;2;2_LOOKUP_BB;2;2_LOOKUP_BB;2;2_LOOKUP_BB;2;2_LOOKUP_BB;2;2_LOOKUP_BB;2;2_LOOKUP_BB;2;2_LOOKUP_BB;2;2_LOOKUP_BB;2;2_LOOKUP_BB
2;2_MAIN_CCC;2;2_LOOKUP_BB;1;1_LOOKUP_A;2;2_LOOKUP_BB;1;1_LOOKUP_A;2;2_LOOKUP_BB;2;2_LOOKUP_BB;1;1_LOOKUP_A;1;1_LOOKUP_A;2;2_LOOKUP_BB
2;2_MAIN_CCC;2;2_LOOKUP_BB;1;1_LOOKUP_A;2;2_LOOKUP_BB;1;1_LOOKUP_A;2;2_LOOKUP_BB;2;2_LOOKUP_BB;1;1_LOOKUP_A;2;2_LOOKUP_BB;2;2_LOOKUP_BB
2;2_MAIN_CCC;2;2_LOOKUP_BB;1;1_LOOKUP_A;2;2_LOOKUP_BB;1;1_LOOKUP_A;2;2_LOOKUP_BB;2;2_LOOKUP_BB;2;2_LOOKUP_BB;1;1_LOOKUP_A;2;2_LOOKUP_BB
2;2_MAIN_CCC;2;2_LOOKUP_BB;1;1_LOOKUP_A;2;2_LOOKUP_BB;1;1_LOOKUP_A;2;2_LOOKUP_BB;2;2_LOOKUP_BB;2;2_LOOKUP_BB;2;2_LOOKUP_BB;2;2_LOOKUP_BB
2;2_MAIN_CCC;2;2_LOOKUP_BB;1;1_LOOKUP_A;2;2_LOOKUP_BB;2;2_LOOKUP_BB;2;2_LOOKUP_BB;2;2_LOOKUP_BB;1;1_LOOKUP_A;1;1_LOOKUP_A;2;2_LOOKUP_BB
2;2_MAIN_CCC;2;2_LOOKUP_BB;1;1_LOOKUP_A;2;2_LOOKUP_BB;2;2_LOOKUP_BB;2;2_LOOKUP_BB;2;2_LOOKUP_BB;1;1_LOOKUP_A;2;2_LOOKUP_BB;2;2_LOOKUP_BB
2;2_MAIN_CCC;2;2_LOOKUP_BB;1;1_LOOKUP_A;2;2_LOOKUP_BB;2;2_LOOKUP_BB;2;2_LOOKUP_BB;2;2_LOOKUP_BB;2;2_LOOKUP_BB;1;1_LOOKUP_A;2;2_LOOKUP_BB
2;2_MAIN_CCC;2;2_LOOKUP_BB;1;1_LOOKUP_A;2;2_LOOKUP_BB;2;2_LOOKUP_BB;2;2_LOOKUP_BB;2;2_LOOKUP_BB;2;2_LOOKUP_BB;2;2_LOOKUP_BB;2;2_LOOKUP_BB
2;2_MAIN_CCC;2;2_LOOKUP_BB;2;2_LOOKUP_BB;2;2_LOOKUP_BB;1;1_LOOKUP_A;2;2_LOOKUP_BB;2;2_LOOKUP_BB;1;1_LOOKUP_A;1;1_LOOKUP_A;2;2_LOOKUP_BB
2;2_MAIN_CCC;2;2_LOOKUP_BB;2;2_LOOKUP_BB;2;2_LOOKUP_BB;1;1_LOOKUP_A;2;2_LOOKUP_BB;2;2_LOOKUP_BB;1;1_LOOKUP_A;2;2_LOOKUP_BB;2;2_LOOKUP_BB
2;2_MAIN_CCC;2;2_LOOKUP_BB;2;2_LOOKUP_BB;2;2_LOOKUP_BB;1;1_LOOKUP_A;2;2_LOOKUP_BB;2;2_LOOKUP_BB;2;2_LOOKUP_BB;1;1_LOOKUP_A;2;2_LOOKUP_BB
2;2_MAIN_CCC;2;2_LOOKUP_BB;2;2_LOOKUP_BB;2;2_LOOKUP_BB;1;1_LOOKUP_A;2;2_LOOKUP_BB;2;2_LOOKUP_BB;2;2_LOOKUP_BB;2;2_LOOKUP_BB;2;2_LOOKUP_BB
2;2_MAIN_CCC;2;2_LOOKUP_BB;2;2_LOOKUP_BB;2;2_LOOKUP_BB;2;2_LOOKUP_BB;2;2_LOOKUP_BB;2;2_LOOKUP_BB;1;1_LOOKUP_A;1;1_LOOKUP_A;2;2_LOOKUP_BB
2;2_MAIN_CCC;2;2_LOOKUP_BB;2;2_LOOKUP_BB;2;2_LOOKUP_BB;2;2_LOOKUP_BB;2;2_LOOKUP_BB;2;2_LOOKUP_BB;1;1_LOOKUP_A;2;2_LOOKUP_BB;2;2_LOOKUP_BB
2;2_MAIN_CCC;2;2_LOOKUP_BB;2;2_LOOKUP_BB;2;2_LOOKUP_BB;2;2_LOOKUP_BB;2;2_LOOKUP_BB;2;2_LOOKUP_BB;2;2_LOOKUP_BB;1;1_LOOKUP_A;2;2_LOOKUP_BB
