93708,F,Catherine,712
2035, ,Ernest,20
1813, ,Robert,524
266851,M,Edgar,20
1810, ,Henri,491
1878,M,Fernand,62
1865, ,Roland,300
1806, ,Edouard,53
1871, ,Vincent,296
1991,M,Benoît,32
2026, ,Emmanuel,5712
2148, ,Nicolas,520
1912, ,Gregory ,15
1909, ,Rolande,14
2066, ,Anthony ,19
2132, ,Nathalie,2386
1905, ,Jean-Jacques,170
1785, ,Didier ,591
116880, ,Alexandra,146
1843, ,Albert,228
100629,M,Joel,436
2259, ,Alexandre,142
2379, ,Michaël,76
1982, ,Lionel,256
1777, ,Michel,3426
1775, ,Christian ,2010
100377,M,Daniel,986
454750,M,Clément ,61
1771, ,Françoise,116
266467,F,Marie-Thérèse,22
1890, ,Jean-Paul,730
110693,F,Margaret,14
2054,M,Stéphane,220
100677,M,Germain,32
110697,F,Delphine,50
266965,F,Katia,14
106078, ,Sebastien,86
