0;Libellé 0;0;2007-02-01;1
1;Libellé 1;0;2007-02-02;1
2;Libellé 2;0;2007-02-03;1
3;Libellé 3;0;2007-02-04;1
4;Libellé 4;0;2007-02-05;1
5;Libellé 5;0;2007-02-06;1
6;Libellé 6;0;2007-02-07;1
7;Libellé 7;0;2007-02-08;1
8;Libellé 8;0;2007-02-09;1
9;Libellé 9;9;2007-02-10;1
10;Libellé 10;10;2007-02-11;0
11;Libellé 11;11;2007-02-12;0
12;Libellé 12;12;2007-02-13;0
13;Libellé 13;13;2007-02-14;0
14;Libellé 14;14;2007-02-15;0
15;Libellé 15;15;2007-02-16;0
16;Libellé 16;16;2007-02-17;0
17;Libellé 17;17;2007-02-18;0
18;Libellé 18;18;2007-02-19;0
19;Libellé 19;19;2007-02-20;0
20;Libellé 20;20;2007-02-21;0
