Fixed;A;For input string: "A";java.lang.NumberFormatException: For input string: "A"
	at java.lang.NumberFormatException.forInputString(NumberFormatException.java:48)
	at java.lang.Integer.parseInt(Integer.java:447)
	at java.lang.Integer.parseInt(Integer.java:497)
	at wyang.bug11997_tmap_reject_vartable_0_1.bug11997_tMap_reject_varTable.tFixedFlowInput_1Process(bug11997_tMap_reject_varTable.java:3348)
	at wyang.bug11997_tmap_reject_vartable_0_1.bug11997_tMap_reject_varTable.tFileInputDelimited_1Process(bug11997_tMap_reject_varTable.java:1854)
	at wyang.bug11997_tmap_reject_vartable_0_1.bug11997_tMap_reject_varTable.runJobInTOS(bug11997_tMap_reject_varTable.java:6064)
	at wyang.bug11997_tmap_reject_vartable_0_1.bug11997_tMap_reject_varTable.main(bug11997_tMap_reject_varTable.java:5826)

Fixed;B;For input string: "B";java.lang.NumberFormatException: For input string: "B"
	at java.lang.NumberFormatException.forInputString(NumberFormatException.java:48)
	at java.lang.Integer.parseInt(Integer.java:447)
	at java.lang.Integer.parseInt(Integer.java:497)
	at wyang.bug11997_tmap_reject_vartable_0_1.bug11997_tMap_reject_varTable.tFixedFlowInput_1Process(bug11997_tMap_reject_varTable.java:3348)
	at wyang.bug11997_tmap_reject_vartable_0_1.bug11997_tMap_reject_varTable.tFileInputDelimited_1Process(bug11997_tMap_reject_varTable.java:1854)
	at wyang.bug11997_tmap_reject_vartable_0_1.bug11997_tMap_reject_varTable.runJobInTOS(bug11997_tMap_reject_varTable.java:6064)
	at wyang.bug11997_tmap_reject_vartable_0_1.bug11997_tMap_reject_varTable.main(bug11997_tMap_reject_varTable.java:5826)

