hwdLBs;dac;08/10/2007 16:15;100.11
hwdLBs;dac;08/10/2007 16:15;1009.0
H5ZpIU;jim;08/10/2007 16:15;657.0
H5ZpIU;jim;08/10/2007 16:15;908.88
UhhmsY;sam;08/10/2007 16:15;988.3
q1qFfR;croos;02/10/2007 16:15;110.0
MgvrOU;sam;08/10/2007 16:15;800.78
H5ZpIU;jim;08/10/2007 16:15;657.0
H5ZpIU;jim;08/10/2007 16:15;908.88
UhhmsY;sam;08/10/2007 16:15;99.0
UhhmsY;sam;08/10/2007 16:15;988.3
UhhmsY;sam;07/10/2007 16:15;100.0
Y7ixdo;kam;08/10/2007 16:15;100.0
W1nmv5;kash;09/10/2007 16:15;100.0
q1qFfR;croos;02/10/2007 16:15;110.0
awOaH0;kash;08/07/2007 16:15;90.0
MgvrOU;sam;08/10/2007 16:15;800.78
H5ZpIU;jim;08/10/2007 16:15;908.88
UhhmsY;sam;08/10/2007 16:15;99.0
UhhmsY;sam;07/10/2007 16:15;100.0
Y7ixdo;kam;08/10/2007 16:15;100.0
W1nmv5;kash;09/10/2007 16:15;100.0
awOaH0;kash;08/07/2007 16:15;90.0
MgvrOU;sam;08/10/2007 16:15;800.78
UhhmsY;sam;08/10/2007 16:15;99.0
UhhmsY;sam;07/10/2007 16:15;100.0
Y7ixdo;kam;08/10/2007 16:15;100.0
W1nmv5;kash;09/10/2007 16:15;100.0
awOaH0;kash;08/07/2007 16:15;90.0
hwdLBs;dac;08/10/2007 16:15;100.11
hwdLBs;dac;08/10/2007 16:15;1009.0
