ぼうだい|ぼうだい|5|2.0084581|2.0084581|1
ぼうだい|ただい|5|0.6689795|0.6689795|1
ぼうだい|ぜつだい|5|0.63478|0.63478|1
ぼうだい|じんだい|5|0.541345|0.541345|1
ぼうだい|ばくだい|5|0.541345|0.541345|1
じんだい|じんだい|4|1.9746883|1.9746883|1
じんだい|ただい|4|0.7905931|0.7905931|1
じんだい|ぜつだい|4|0.7569685|0.7569685|1
じんだい|ぼうだい|4|0.6651045|0.6651045|1
ばくだい|ばくだい|3|2.0084581|2.0084581|1
ばくだい|ただい|3|0.6689795|0.6689795|1
ばくだい|ぜつだい|3|0.63478|0.63478|1
ぜつだい|ぜつだい|2|1.4988029|1.4988029|1
ぜつだい|ただい|2|1.3970718|1.3970718|1
ただい|ただい|1|1.5021007|1.5021007|1
休み||1|0.0|0.0|0
