ID_MAIN;LABEL_MAIN;ID_LOOKUP_FIRST_MATCH;LABEL_LOOKUP_FIRST_MATCH;ID_LOOKUP_LAST_MATCH;LABEL_LOOKUP_LAST_MATCH;ID_LOOKUP_UNIQUE_MATCH;LABEL_LOOKUP_UNIQUE_MATCH;ID_LOOKUP_ALL_MATCHES;LABEL_LOOKUP_ALL_MATCHES;ID_LOOKUP_ALL_ROWS;LABEL_LOOKUP_ALL_ROWS
5;5_MAIN_EEEEE;5;5_LOOKUP_EEEEEEEEEEEE;5;5_LOOKUP_EEEEEEEEEEEE;5;5_LOOKUP_EEEEEEEEEEEE;5;5_LOOKUP_EEEEEEEEEEEE;1;1_LOOKUP_AA
5;5_MAIN_EEEEE;5;5_LOOKUP_EEEEEEEEEEEE;5;5_LOOKUP_EEEEEEEEEEEE;5;5_LOOKUP_EEEEEEEEEEEE;5;5_LOOKUP_EEEEEEEEEEEE;1;1_LOOKUP_A
5;5_MAIN_EEEEE;5;5_LOOKUP_EEEEEEEEEEEE;5;5_LOOKUP_EEEEEEEEEEEE;5;5_LOOKUP_EEEEEEEEEEEE;5;5_LOOKUP_EEEEEEEEEEEE;1;1_LOOKUP_AAAAAAAAAAA
5;5_MAIN_EEEEE;5;5_LOOKUP_EEEEEEEEEEEE;5;5_LOOKUP_EEEEEEEEEEEE;5;5_LOOKUP_EEEEEEEEEEEE;5;5_LOOKUP_EEEEEEEEEEEE;2;2_LOOKUP_BBBB
5;5_MAIN_EEEEE;5;5_LOOKUP_EEEEEEEEEEEE;5;5_LOOKUP_EEEEEEEEEEEE;5;5_LOOKUP_EEEEEEEEEEEE;5;5_LOOKUP_EEEEEEEEEEEE;2;2_LOOKUP_BBB
5;5_MAIN_EEEEE;5;5_LOOKUP_EEEEEEEEEEEE;5;5_LOOKUP_EEEEEEEEEEEE;5;5_LOOKUP_EEEEEEEEEEEE;5;5_LOOKUP_EEEEEEEEEEEE;2;2_LOOKUP_BBBBBBBBBBB
5;5_MAIN_EEEEE;5;5_LOOKUP_EEEEEEEEEEEE;5;5_LOOKUP_EEEEEEEEEEEE;5;5_LOOKUP_EEEEEEEEEEEE;5;5_LOOKUP_EEEEEEEEEEEE;3;3_LOOKUP_CCCCC
5;5_MAIN_EEEEE;5;5_LOOKUP_EEEEEEEEEEEE;5;5_LOOKUP_EEEEEEEEEEEE;5;5_LOOKUP_EEEEEEEEEEEE;5;5_LOOKUP_EEEEEEEEEEEE;3;3_LOOKUP_CCCCCC
5;5_MAIN_EEEEE;5;5_LOOKUP_EEEEEEEEEEEE;5;5_LOOKUP_EEEEEEEEEEEE;5;5_LOOKUP_EEEEEEEEEEEE;5;5_LOOKUP_EEEEEEEEEEEE;3;3_LOOKUP_CCCCCCCCCCC
5;5_MAIN_EEEEE;5;5_LOOKUP_EEEEEEEEEEEE;5;5_LOOKUP_EEEEEEEEEEEE;5;5_LOOKUP_EEEEEEEEEEEE;5;5_LOOKUP_EEEEEEEEEEEE;4;4_LOOKUP_DDDDDDDD
5;5_MAIN_EEEEE;5;5_LOOKUP_EEEEEEEEEEEE;5;5_LOOKUP_EEEEEEEEEEEE;5;5_LOOKUP_EEEEEEEEEEEE;5;5_LOOKUP_EEEEEEEEEEEE;4;4_LOOKUP_DDDDDDD
5;5_MAIN_EEEEE;5;5_LOOKUP_EEEEEEEEEEEE;5;5_LOOKUP_EEEEEEEEEEEE;5;5_LOOKUP_EEEEEEEEEEEE;5;5_LOOKUP_EEEEEEEEEEEE;4;4_LOOKUP_DDDDDDDDDDD
5;5_MAIN_EEEEE;5;5_LOOKUP_EEEEEEEEEEEE;5;5_LOOKUP_EEEEEEEEEEEE;5;5_LOOKUP_EEEEEEEEEEEE;5;5_LOOKUP_EEEEEEEEEEEE;5;5_LOOKUP_EEEEEEEEEEEE
