1;7;03-11-2006
3;1;16-02-2005
4;2;22-08-2002
5;2;28-06-2001
6;28;17-08-2003
7;15;27-08-2000
8;9;24-03-2006
9;12;10-09-2001
10;1;11-01-1977
11;48;20-07-1987
12;25;12-01-2000
13;46;08-06-2003
14;8;19-06-2002
15;21;20-10-1987
16;46;17-07-2000
17;1;07-09-2002
18;34;07-04-2001
19;44;20-12-2006
20;22;05-01-2005
21;27;12-02-1974
22;24;08-10-2000
23;10;03-09-2000
24;33;26-06-2001
25;49;26-05-2005
26;45;17-11-1970
27;28;24-11-1974
28;12;04-09-2006
29;6;29-03-2006
30;25;07-02-1974
31;37;13-05-1992
32;13;24-12-1996
33;22;21-03-2000
34;20;11-07-2002
35;47;02-01-1970
36;22;29-04-1980
37;26;17-10-2000
38;49;27-08-1985
39;45;20-10-1971
40;16;02-02-2006
41;26;06-02-1996
42;38;29-02-1996
43;30;14-01-1974
44;14;11-05-1993
45;48;23-07-1977
46;12;07-12-2006
48;46;03-08-2007
49;17;26-10-2002
50;0;21-08-1971
51;4;04-09-1974
52;47;24-02-2003
53;5;04-06-1989
55;28;01-07-2006
56;7;02-05-1999
57;41;24-12-1977
58;45;15-09-1986
59;37;16-09-2004
60;32;21-09-1982
62;9;24-08-2000
63;9;04-09-2000
64;9;12-10-2006
65;30;17-02-2001
66;27;04-11-1978
67;32;16-07-2006
68;6;25-04-1990
69;6;05-11-2003
70;28;09-02-1989
71;32;03-04-2001
72;9;19-10-1972
73;49;27-05-1996
74;46;18-02-2006
75;28;16-12-2006
76;39;04-02-1994
77;49;10-11-1978
78;13;21-08-1978
79;12;27-03-2005
80;21;08-03-1980
81;19;03-02-2007
82;24;10-11-1972
83;18;25-03-2001
84;8;11-03-2000
85;6;12-01-1977
86;19;27-03-1971
87;28;23-09-2005
88;19;19-02-1999
89;22;11-10-1978
90;33;05-02-2005
91;34;18-03-1987
92;7;17-11-2000
93;30;12-04-1994
94;6;02-06-1974
95;2;26-06-2000
96;26;04-12-2001
97;19;22-06-2005
98;39;05-07-2000
99;29;19-06-1970
100;44;26-07-2006
101;7;23-06-1980
102;34;28-07-1989
103;31;06-03-1992
104;39;30-10-1977
105;16;20-08-2000
106;40;14-02-2001
107;25;19-09-2005
108;9;07-06-2000
109;23;22-11-2000
110;43;27-01-1994
111;20;20-12-2000
112;41;22-11-1998
113;44;12-02-2005
114;45;09-04-1972
115;48;13-04-2001
116;6;11-01-1972
117;11;30-04-1974
118;19;16-02-2007
119;31;17-01-1990
120;3;13-11-1992
121;5;07-07-1972
122;12;11-12-1970
123;4;23-11-2005
124;44;31-12-1970
125;47;15-01-1993
127;43;18-06-1994
128;25;25-09-1974
129;14;23-09-1974
130;31;24-10-2006
131;22;22-11-1971
132;15;30-12-1983
133;31;04-06-1989
134;21;20-08-1983
