2;35;19-11-2004
47;35;23-10-1977
61;35;02-10-2003
126;35;13-08-2004
144;35;16-12-1989
148;35;11-09-2001
163;35;24-09-1975
225;35;08-06-2005
249;35;19-12-2002
345;35;12-11-2005
352;35;23-01-1977
356;35;17-04-1978
464;35;17-04-2006
482;35;14-05-2000
533;35;25-06-1970
537;35;25-03-2005
618;35;06-09-1982
653;35;07-04-1993
675;35;16-02-1972
741;35;21-12-1982
758;35;30-12-2000
941;35;23-05-1980
959;35;28-07-1980
980;35;01-10-1990
998;35;01-05-1987
1079;35;27-11-2003
1182;35;07-09-2000
1215;35;07-11-2000
1231;35;24-01-1986
1240;35;05-12-1974
1340;35;13-07-1975
1388;35;08-01-1993
1555;35;22-08-1989
1663;35;09-06-1994
1706;35;21-11-1987
1774;35;06-05-1989
1813;35;23-11-1992
1822;35;02-07-1987
1898;35;26-01-1971
1975;35;23-03-2000
2002;35;27-01-2007
2159;35;29-06-2004
2219;35;16-08-2000
2248;35;16-03-2000
2386;35;20-08-1990
2387;35;07-11-2002
2403;35;29-12-2004
2416;35;22-02-1977
2473;35;11-03-2005
2540;35;28-07-1986
2610;35;05-02-1986
2625;35;14-08-1983
2628;35;11-09-2007
2764;35;30-08-1996
2784;35;20-04-1987
2819;35;19-02-1990
2841;35;24-08-2001
2852;35;08-09-1970
2854;35;21-01-1990
2930;35;14-08-1977
2959;35;27-05-2006
3039;35;20-06-2006
3108;35;13-12-2000
3162;35;13-09-1985
3204;35;17-02-1992
3212;35;17-10-1992
3287;35;29-03-2003
3292;35;07-02-2003
3298;35;11-11-2005
3316;35;31-08-1996
3385;35;25-02-1970
3536;35;19-10-1977
3569;35;28-09-2001
3576;35;19-03-2001
3601;35;13-05-1987
3604;35;17-06-2005
3629;35;10-10-1975
3647;35;13-01-2006
3664;35;30-06-2004
3876;35;03-03-1974
3972;35;22-11-2003
3984;35;26-05-1970
4042;35;29-11-1978
4058;35;22-05-1975
4104;35;12-09-1989
4158;35;08-12-1994
4187;35;15-09-1993
4215;35;11-09-1971
4222;35;22-05-1977
4234;35;09-11-1971
4270;35;29-09-2000
4271;35;08-05-1989
4296;35;19-12-1994
4303;35;22-02-1980
4320;35;09-12-2004
4374;35;30-11-2002
4419;35;07-03-1978
4449;35;08-09-2000
4466;35;31-03-2005
4486;35;05-11-1972
4496;35;04-01-2000
4521;35;03-10-1971
4595;35;01-10-2000
4705;35;13-06-1989
4742;35;22-09-2006
4798;35;06-06-1971
4894;35;18-08-2007
4961;35;13-09-1994
4987;35;12-04-2006
4999;35;04-05-1990
