ID_MAIN;LABEL_MAIN;ID_LOOKUP1;LABEL_LOOKUP1
1;1_MAIN_A;1;1_LOOKUP_AA
1;1_MAIN_A;1;1_LOOKUP_A
1;1_MAIN_A;1;1_LOOKUP_AAAAAAAAAAA
1;1_MAIN_A;2;2_LOOKUP_BBBB
1;1_MAIN_A;2;2_LOOKUP_BBB
1;1_MAIN_A;2;2_LOOKUP_BBBBBBBBBBB
1;1_MAIN_A;3;3_LOOKUP_CCCCC
1;1_MAIN_A;3;3_LOOKUP_CCCCCC
1;1_MAIN_A;3;3_LOOKUP_CCCCCCCCCCC
1;1_MAIN_A;4;4_LOOKUP_DDDDDDDD
1;1_MAIN_A;4;4_LOOKUP_DDDDDDD
1;1_MAIN_A;4;4_LOOKUP_DDDDDDDDDDD
1;1_MAIN_A;5;5_LOOKUP_EEEEEEEEEEEE
2;2_MAIN_BB;1;1_LOOKUP_AA
2;2_MAIN_BB;1;1_LOOKUP_A
2;2_MAIN_BB;1;1_LOOKUP_AAAAAAAAAAA
2;2_MAIN_BB;2;2_LOOKUP_BBBB
2;2_MAIN_BB;2;2_LOOKUP_BBB
2;2_MAIN_BB;2;2_LOOKUP_BBBBBBBBBBB
2;2_MAIN_BB;3;3_LOOKUP_CCCCC
2;2_MAIN_BB;3;3_LOOKUP_CCCCCC
2;2_MAIN_BB;3;3_LOOKUP_CCCCCCCCCCC
2;2_MAIN_BB;4;4_LOOKUP_DDDDDDDD
2;2_MAIN_BB;4;4_LOOKUP_DDDDDDD
2;2_MAIN_BB;4;4_LOOKUP_DDDDDDDDDDD
2;2_MAIN_BB;5;5_LOOKUP_EEEEEEEEEEEE
3;3_MAIN_CCC;1;1_LOOKUP_AA
3;3_MAIN_CCC;1;1_LOOKUP_A
3;3_MAIN_CCC;1;1_LOOKUP_AAAAAAAAAAA
3;3_MAIN_CCC;2;2_LOOKUP_BBBB
3;3_MAIN_CCC;2;2_LOOKUP_BBB
3;3_MAIN_CCC;2;2_LOOKUP_BBBBBBBBBBB
3;3_MAIN_CCC;3;3_LOOKUP_CCCCC
3;3_MAIN_CCC;3;3_LOOKUP_CCCCCC
3;3_MAIN_CCC;3;3_LOOKUP_CCCCCCCCCCC
3;3_MAIN_CCC;4;4_LOOKUP_DDDDDDDD
3;3_MAIN_CCC;4;4_LOOKUP_DDDDDDD
3;3_MAIN_CCC;4;4_LOOKUP_DDDDDDDDDDD
3;3_MAIN_CCC;5;5_LOOKUP_EEEEEEEEEEEE
4;4_MAIN_DDDD;1;1_LOOKUP_AA
4;4_MAIN_DDDD;1;1_LOOKUP_A
4;4_MAIN_DDDD;1;1_LOOKUP_AAAAAAAAAAA
4;4_MAIN_DDDD;2;2_LOOKUP_BBBB
4;4_MAIN_DDDD;2;2_LOOKUP_BBB
4;4_MAIN_DDDD;2;2_LOOKUP_BBBBBBBBBBB
4;4_MAIN_DDDD;3;3_LOOKUP_CCCCC
4;4_MAIN_DDDD;3;3_LOOKUP_CCCCCC
4;4_MAIN_DDDD;3;3_LOOKUP_CCCCCCCCCCC
4;4_MAIN_DDDD;4;4_LOOKUP_DDDDDDDD
4;4_MAIN_DDDD;4;4_LOOKUP_DDDDDDD
4;4_MAIN_DDDD;4;4_LOOKUP_DDDDDDDDDDD
4;4_MAIN_DDDD;5;5_LOOKUP_EEEEEEEEEEEE
5;5_MAIN_EEEEE;1;1_LOOKUP_AA
5;5_MAIN_EEEEE;1;1_LOOKUP_A
5;5_MAIN_EEEEE;1;1_LOOKUP_AAAAAAAAAAA
5;5_MAIN_EEEEE;2;2_LOOKUP_BBBB
5;5_MAIN_EEEEE;2;2_LOOKUP_BBB
5;5_MAIN_EEEEE;2;2_LOOKUP_BBBBBBBBBBB
5;5_MAIN_EEEEE;3;3_LOOKUP_CCCCC
5;5_MAIN_EEEEE;3;3_LOOKUP_CCCCCC
5;5_MAIN_EEEEE;3;3_LOOKUP_CCCCCCCCCCC
5;5_MAIN_EEEEE;4;4_LOOKUP_DDDDDDDD
5;5_MAIN_EEEEE;4;4_LOOKUP_DDDDDDD
5;5_MAIN_EEEEE;4;4_LOOKUP_DDDDDDDDDDD
5;5_MAIN_EEEEE;5;5_LOOKUP_EEEEEEEEEEEE
5;5_MAIN_EEEEEE;1;1_LOOKUP_AA
5;5_MAIN_EEEEEE;1;1_LOOKUP_A
5;5_MAIN_EEEEEE;1;1_LOOKUP_AAAAAAAAAAA
5;5_MAIN_EEEEEE;2;2_LOOKUP_BBBB
5;5_MAIN_EEEEEE;2;2_LOOKUP_BBB
5;5_MAIN_EEEEEE;2;2_LOOKUP_BBBBBBBBBBB
5;5_MAIN_EEEEEE;3;3_LOOKUP_CCCCC
5;5_MAIN_EEEEEE;3;3_LOOKUP_CCCCCC
5;5_MAIN_EEEEEE;3;3_LOOKUP_CCCCCCCCCCC
5;5_MAIN_EEEEEE;4;4_LOOKUP_DDDDDDDD
5;5_MAIN_EEEEEE;4;4_LOOKUP_DDDDDDD
5;5_MAIN_EEEEEE;4;4_LOOKUP_DDDDDDDDDDD
5;5_MAIN_EEEEEE;5;5_LOOKUP_EEEEEEEEEEEE
