0;label_0_MAIN_F1_%0;0;label_0_LOOKUP_F1_%0;0;label_0_LOOKUP_F2_%0
0;label_0_MAIN_F1_%1;0;label_0_LOOKUP_F1_%0;0;label_0_LOOKUP_F2_%0
0;label_0_MAIN_F1_%2;0;label_0_LOOKUP_F1_%0;0;label_0_LOOKUP_F2_%0
1;label_1_MAIN_F1_%0;1;label_1_LOOKUP_F1_%0;1;label_1_LOOKUP_F2_%0
1;label_1_MAIN_F1_%1;1;label_1_LOOKUP_F1_%0;1;label_1_LOOKUP_F2_%0
1;label_1_MAIN_F1_%2;1;label_1_LOOKUP_F1_%0;1;label_1_LOOKUP_F2_%0
2;label_2_MAIN_F1_%0;2;label_2_LOOKUP_F1_%0;2;label_2_LOOKUP_F2_%0
2;label_2_MAIN_F1_%1;2;label_2_LOOKUP_F1_%0;2;label_2_LOOKUP_F2_%0
2;label_2_MAIN_F1_%2;2;label_2_LOOKUP_F1_%0;2;label_2_LOOKUP_F2_%0
3;label_3_MAIN_F1_%0;3;label_3_LOOKUP_F1_%0;3;label_3_LOOKUP_F2_%0
3;label_3_MAIN_F1_%1;3;label_3_LOOKUP_F1_%0;3;label_3_LOOKUP_F2_%0
3;label_3_MAIN_F1_%2;3;label_3_LOOKUP_F1_%0;3;label_3_LOOKUP_F2_%0
4;label_4_MAIN_F1_%0;4;label_4_LOOKUP_F1_%0;4;label_4_LOOKUP_F2_%0
4;label_4_MAIN_F1_%1;4;label_4_LOOKUP_F1_%0;4;label_4_LOOKUP_F2_%0
4;label_4_MAIN_F1_%2;4;label_4_LOOKUP_F1_%0;4;label_4_LOOKUP_F2_%0
5;label_5_MAIN_F1_%0;5;label_5_LOOKUP_F1_%0;5;label_5_LOOKUP_F2_%0
5;label_5_MAIN_F1_%1;5;label_5_LOOKUP_F1_%0;5;label_5_LOOKUP_F2_%0
5;label_5_MAIN_F1_%2;5;label_5_LOOKUP_F1_%0;5;label_5_LOOKUP_F2_%0
6;label_6_MAIN_F1_%0;6;label_6_LOOKUP_F1_%0;6;label_6_LOOKUP_F2_%0
6;label_6_MAIN_F1_%1;6;label_6_LOOKUP_F1_%0;6;label_6_LOOKUP_F2_%0
6;label_6_MAIN_F1_%2;6;label_6_LOOKUP_F1_%0;6;label_6_LOOKUP_F2_%0
7;label_7_MAIN_F1_%0;7;label_7_LOOKUP_F1_%0;7;label_7_LOOKUP_F2_%0
7;label_7_MAIN_F1_%1;7;label_7_LOOKUP_F1_%0;7;label_7_LOOKUP_F2_%0
7;label_7_MAIN_F1_%2;7;label_7_LOOKUP_F1_%0;7;label_7_LOOKUP_F2_%0
8;label_8_MAIN_F1_%0;8;label_8_LOOKUP_F1_%0;8;label_8_LOOKUP_F2_%0
8;label_8_MAIN_F1_%1;8;label_8_LOOKUP_F1_%0;8;label_8_LOOKUP_F2_%0
