ID_MAIN;LABEL_MAIN;ID_LOOKUP_ALL_ROWS;LABEL_LOOKUP_ALL_ROWS;ID_LOOKUP_FIRST_MATCH;LABEL_LOOKUP_FIRST_MATCH;ID_LOOKUP_LAST_MATCH;LABEL_LOOKUP_LAST_MATCH;ID_LOOKUP_UNIQUE_MATCH;LABEL_LOOKUP_UNIQUE_MATCH;ID_LOOKUP_ALL_MATCHES;LABEL_LOOKUP_ALL_MATCHES
3;3_MAIN_CCC;1;1_LOOKUP_AAAAAAAAAAA;3;3_LOOKUP_CCCCCCCCCCC;3;3_LOOKUP_CCCCCC;3;3_LOOKUP_CCCCCC;3;3_LOOKUP_CCCCCCCCCCC
3;3_MAIN_CCC;1;1_LOOKUP_AAAAAAAAAAA;3;3_LOOKUP_CCCCCCCCCCC;3;3_LOOKUP_CCCCCC;3;3_LOOKUP_CCCCCC;3;3_LOOKUP_CCCCC
3;3_MAIN_CCC;1;1_LOOKUP_AAAAAAAAAAA;3;3_LOOKUP_CCCCCCCCCCC;3;3_LOOKUP_CCCCCC;3;3_LOOKUP_CCCCCC;3;3_LOOKUP_CCCCCC
3;3_MAIN_CCC;1;1_LOOKUP_AA;3;3_LOOKUP_CCCCCCCCCCC;3;3_LOOKUP_CCCCCC;3;3_LOOKUP_CCCCCC;3;3_LOOKUP_CCCCCCCCCCC
3;3_MAIN_CCC;1;1_LOOKUP_AA;3;3_LOOKUP_CCCCCCCCCCC;3;3_LOOKUP_CCCCCC;3;3_LOOKUP_CCCCCC;3;3_LOOKUP_CCCCC
3;3_MAIN_CCC;1;1_LOOKUP_AA;3;3_LOOKUP_CCCCCCCCCCC;3;3_LOOKUP_CCCCCC;3;3_LOOKUP_CCCCCC;3;3_LOOKUP_CCCCCC
3;3_MAIN_CCC;1;1_LOOKUP_A;3;3_LOOKUP_CCCCCCCCCCC;3;3_LOOKUP_CCCCCC;3;3_LOOKUP_CCCCCC;3;3_LOOKUP_CCCCCCCCCCC
3;3_MAIN_CCC;1;1_LOOKUP_A;3;3_LOOKUP_CCCCCCCCCCC;3;3_LOOKUP_CCCCCC;3;3_LOOKUP_CCCCCC;3;3_LOOKUP_CCCCC
3;3_MAIN_CCC;1;1_LOOKUP_A;3;3_LOOKUP_CCCCCCCCCCC;3;3_LOOKUP_CCCCCC;3;3_LOOKUP_CCCCCC;3;3_LOOKUP_CCCCCC
3;3_MAIN_CCC;2;2_LOOKUP_BBBB;3;3_LOOKUP_CCCCCCCCCCC;3;3_LOOKUP_CCCCCC;3;3_LOOKUP_CCCCCC;3;3_LOOKUP_CCCCCCCCCCC
