ID_MAIN;LABEL_MAIN;LOOKUP_FILE_INDEX;ID_LOOKUP1;LABEL_LOOKUP1
1;1_MAIN_A;fileIndex=2;1;1_LOOKUP_A
1;1_MAIN_A;fileIndex=2;4;4_LOOKUP_DDDD
2;2_MAIN_BB;fileIndex=3;1;1_LOOKUP_A
2;2_MAIN_BB;fileIndex=3;1;1_LOOKUP_AA
2;2_MAIN_BB;fileIndex=3;2;2_LOOKUP_BBB
2;2_MAIN_BB;fileIndex=3;2;2_LOOKUP_BBBB
2;2_MAIN_BB;fileIndex=3;3;3_LOOKUP_CCCCC
2;2_MAIN_BB;fileIndex=3;3;3_LOOKUP_CCCCCC
2;2_MAIN_BB;fileIndex=3;4;4_LOOKUP_DDDDDDD
2;2_MAIN_BB;fileIndex=3;4;4_LOOKUP_DDDDDDDD
3;3_MAIN_CCC;fileIndex=4;1;1_LOOKUP_AAAAAAAAAAA
3;3_MAIN_CCC;fileIndex=4;1;1_LOOKUP_AA
3;3_MAIN_CCC;fileIndex=4;1;1_LOOKUP_A
3;3_MAIN_CCC;fileIndex=4;2;2_LOOKUP_BBBB
3;3_MAIN_CCC;fileIndex=4;2;2_LOOKUP_BBB
3;3_MAIN_CCC;fileIndex=4;2;2_LOOKUP_BBBBBBBBBBBB
3;3_MAIN_CCC;fileIndex=4;3;3_LOOKUP_CCCCCCCCCCC
3;3_MAIN_CCC;fileIndex=4;3;3_LOOKUP_CCCCC
3;3_MAIN_CCC;fileIndex=4;3;3_LOOKUP_CCCCCC
3;3_MAIN_CCC;fileIndex=4;4;4_LOOKUP_DDDDDDDD
3;3_MAIN_CCC;fileIndex=4;4;4_LOOKUP_DDDDDDD
3;3_MAIN_CCC;fileIndex=4;4;4_LOOKUP_DDDDDDDDDDDD
4;4_MAIN_DDDD;fileIndex=4;1;1_LOOKUP_AAAAAAAAAAA
4;4_MAIN_DDDD;fileIndex=4;1;1_LOOKUP_AA
4;4_MAIN_DDDD;fileIndex=4;1;1_LOOKUP_A
4;4_MAIN_DDDD;fileIndex=4;2;2_LOOKUP_BBBB
4;4_MAIN_DDDD;fileIndex=4;2;2_LOOKUP_BBB
4;4_MAIN_DDDD;fileIndex=4;2;2_LOOKUP_BBBBBBBBBBBB
4;4_MAIN_DDDD;fileIndex=4;3;3_LOOKUP_CCCCCCCCCCC
4;4_MAIN_DDDD;fileIndex=4;3;3_LOOKUP_CCCCC
4;4_MAIN_DDDD;fileIndex=4;3;3_LOOKUP_CCCCCC
4;4_MAIN_DDDD;fileIndex=4;4;4_LOOKUP_DDDDDDDD
4;4_MAIN_DDDD;fileIndex=4;4;4_LOOKUP_DDDDDDD
4;4_MAIN_DDDD;fileIndex=4;4;4_LOOKUP_DDDDDDDDDDDD
4;4_MAIN_DDDDDD;fileIndex=5;1;1_LOOKUP_A
4;4_MAIN_DDDDDD;fileIndex=5;2;2_LOOKUP_BB
4;4_MAIN_DDDDDDD;fileIndex=2;1;1_LOOKUP_A
4;4_MAIN_DDDDDDD;fileIndex=2;4;4_LOOKUP_DDDD
1;1_MAIN_AA;fileIndex=1;;
5;5_MAIN_EEEEE;fileIndex=4;1;1_LOOKUP_AAAAAAAAAAA
5;5_MAIN_EEEEE;fileIndex=4;1;1_LOOKUP_AA
5;5_MAIN_EEEEE;fileIndex=4;1;1_LOOKUP_A
5;5_MAIN_EEEEE;fileIndex=4;2;2_LOOKUP_BBBB
5;5_MAIN_EEEEE;fileIndex=4;2;2_LOOKUP_BBB
5;5_MAIN_EEEEE;fileIndex=4;2;2_LOOKUP_BBBBBBBBBBBB
5;5_MAIN_EEEEE;fileIndex=4;3;3_LOOKUP_CCCCCCCCCCC
5;5_MAIN_EEEEE;fileIndex=4;3;3_LOOKUP_CCCCC
5;5_MAIN_EEEEE;fileIndex=4;3;3_LOOKUP_CCCCCC
5;5_MAIN_EEEEE;fileIndex=4;4;4_LOOKUP_DDDDDDDD
5;5_MAIN_EEEEE;fileIndex=4;4;4_LOOKUP_DDDDDDD
5;5_MAIN_EEEEE;fileIndex=4;4;4_LOOKUP_DDDDDDDDDDDD
