200 OLD LINCOLN HWY;20011012210250150034101;2010-05-24 00:00:00
1884 SO 300 W;20011012110249050034101;2010-05-14 11:59:34
1884 SO 300 W;20011011310002950034105;2010-05-14 00:00:00
33120 CHINCOTEAGUE RD;20011013310079250034101;2010-05-20 00:00:00
33120 CHINCOTEAGUE RD;20011013310079250034101;2010-05-20 00:00:00
33120 CHINCOTEAGUE RD;20011013310079450034101;2010-05-20 00:00:00
33120 CHINCOTEAGUE RD;20011013310079450034101;2010-05-20 00:00:00
PO BOX 689;20011065610430450034101;2010-05-13 00:00:00
PO BOX 689;20011011310002950034105;2010-05-13 00:00:00
1914 E. 9400 S. #236;20011012210419150023103;2010-05-11 00:00:00
1914 E. 9400 S. #236;20011012210419150023103;2010-05-11 12:05:21
1914 E. 9400 S. #236;20011011310002950034105;2010-05-13 00:00:00
1834 S 900 W ;20011012110249050034101;2010-05-14 00:00:00
11-40 BORDEN AVE;20011014510035750034101;2010-05-25 00:00:00
1299 PAYSPHERE CIRCLE;20011012109249650037103;2008-07-25 09:30:20
1299 PAYSPHERE CIRCLE;20011012109249650037103;2008-07-25 09:30:20
1299 PAYSPHERE CIRCLE;20011012110249650023103;2008-07-25 09:30:20
1299 PAYSPHERE CIRCLE;20011012110249650023103;2008-07-25 09:30:20
1299 PAYSPHERE CIRCLE;20011012110249650037103;2008-07-25 09:30:20
1299 PAYSPHERE CIRCLE;20011065309418450034101;2009-08-18 00:00:00
1299 PAYSPHERE CIRCLE;20011012110249650023103;2009-12-03 00:00:00
1299 PAYSPHERE CIRCLE;20011065309418450034101;2009-12-03 00:00:00
1299 PAYSPHERE CIRCLE;20011012110249650023103;2008-07-25 09:30:20
1299 PAYSPHERE CIRCLE;20011012110249650023103;2008-07-25 09:30:20
14155 NEWBROOK DR;20011013310427450034101;2010-05-03 00:00:00
14155 NEWBROOK DR;20011013310079250034101;2010-05-03 00:00:00
14155 NEWBROOK DR;20011013310427450034101;2010-05-03 00:00:00
14155 NEWBROOK DR;20011013310427450034101;2010-05-03 00:00:00
2395 SW 1ST AVE;20011014510249850034101;2010-05-25 00:00:00
PO BOX 831;20011012710083950034101;2010-02-25 00:00:00
PO BOX 831;20011012710083950034101;2010-02-25 00:00:00
PO BOX 831;20011012710083950034101;2010-02-25 00:00:00
PO BOX 831;20011011310002950034105;2010-04-20 00:00:00
DEPT 849804745;20011012110249350034101;2010-05-12 00:00:00
10 PARK PLACE;20011015510429850034101;2010-06-01 00:00:00
10 PARK PLACE;20011015510429850034101;2010-06-01 11:43:07
10 PARK PLACE;20011015510429850034101;2010-06-01 11:43:08
10 PARK PLACE;20011011310002950034105;2010-06-01 00:00:00
PO BX 758 ;20011013210425750034101;2010-05-13 00:00:00
PO BX 758 ;20011013210425750034101;2010-05-13 16:45:12
PO BX 758 ;20011011310002950034104;2010-05-13 00:00:00
PO BX 758 ;20011013210425750034101;2010-05-18 16:51:45
6445 SW FALLBROOK PL #125;20011012110249050034101;2010-05-21 09:43:31
741 CORPORATE CIRCLE SUITE R;20011015209409050034104;2010-03-22 07:59:56
741 CORPORATE CIRCLE SUITE R;20011011310002950034105;2010-03-22 00:00:00
22737 NETWORK PLACE;20011012110251450034101;2010-04-13 08:13:35
22737 NETWORK PLACE;20011011310002950034105;2010-04-13 00:00:00
916 N. MAIN;20011012110249150034101;2010-05-14 00:00:00
