gégé@talend.com;VALID;
coœur@yahoo.fr;VALID;
co@yahœ.fr;VALID;
çæ@äå.åå;VALID;
उपयोगकर्ता@उदाहरण.कॉम;VALID;
юзер@екзампл.ком;VALID;
θσερ@εχαμπλε.ψομ;VALID;
Dörte@Sörensen.example.com;VALID;
sc@talend.com;VALID;
Abc.123@example.com;VALID;
user+mailbox/department=shipping@example.com;VALID;
mailbox/department@example.com;VALID;
department=shipping@example.com;VALID;
!#$%&'*+-/=?^_`.{|}~@example.com;VALID;
Loïc.Accentué@voilà.fr;VALID;
prettyandsimple@example.com;VALID;
very.common@example.com;VALID;
disposable.style.email.with+symbol@example.com;VALID;
other.email-with-dash@example.com;VALID;
x@example.com;VALID;
example-indeed@strange-example.com;VALID;
#!$%&'*+-/=?^_`{}|~@example.org;VALID;
" "@example.org;VALID;
"Abc@def"@example.com;VALID;
"Fred Bloggs"@example.com;VALID;
"Joe.\\Blow"@example.com;VALID;
"much.more unusual"@example.com;VALID;
"very.unusual.@.unusual.com"@example.com;VALID;
abc@def-.com;INVALID;
example@s.solutions;INVALID;
"()<>[]:;INVALID;
example@localhost;INVALID;
user@localserver;INVALID;
user@tt;INVALID;
user@[IPv6:2001:DB8::1];INVALID;
admin@mailserver1;INVALID;
Abc@10.42.0.1;INVALID;
"very.();INVALID;
Abc.@example.com;INVALID;
Abc..123@example.com;INVALID;
Abc.example.com;INVALID;
A@b@c@example.com;INVALID;
a"b(c)d;INVALID;
just"not"right@example.com;INVALID;
this is"not\allowed@example.com;INVALID;
this\ still\"not\\allowed@example.com;INVALID;
john..doe@example.com;INVALID;
john.doe@example..com;INVALID;
