hwdLBs;dac;08/10/2007 16:15;ArupPW;1000.05
H5ZpIU;jim;08/10/2007 16:15;xhNkzw;122.6
UhhmsY;sam;08/10/2007 16:15;dt0C84;111.0
UhhmsY;sam;07/10/2007 16:15;ypyG0I;89.0
Y7ixdo;kam;08/10/2007 16:15;T6A6EP;6654.0
W1nmv5;kash;08/10/2007 16:15;N5AQ3k;90.6
awOaH0;kash;08/10/2007 16:15;bRfmdG;440.0
MgvrOU;sam;08/10/2007 16:15;XCdEvP;554.07
F5yl03;kam;08/10/2007 16:15;4a53f1;123.0
DdrpP9;gael;09/10/2007 16:15;zOmPHr;98.0
blu1xG;jim;08/10/2007 16:15;dFIPl4;677.0
FCt4aZ;rim;08/10/2007 16:15;FuWqiU;99.8
41rZtL;jim;08/10/2007 16:15;Tjhsze;11111.1
oNlkgs;adel;08/10/2007 16:15;B54HJm;6777.01
796Ck3;dac;08/10/2007 16:15;URHYhL;11.0
pPeMUD;dac;08/10/2007 16:15;qrEEFE;90.0
