東京都|東京|1|3.668114|3.668114|1
トウキョウ|東京|1|2.1318583|2.1318583|1
トーキョー|東京|1|2.1318583|2.1318583|1
とうきょう|東京|1|4.2023134|4.2023134|1
tōkyō|東京|1|0.75372577|0.75372577|1
tôkyô|東京|1|0.75372577|0.75372577|1
アーノルド・アロイス・シュワルツェネッガー|シュワルツェネッガー|1|2.4119225|2.4119225|1
ｱｰﾉﾙﾄﾞ･ｱﾛｲｽ･ｼｭﾜﾙﾂｪﾈｯｶﾞｰしゅわるつぇねっがあ|シュワルツェネッガー|1|2.6912458|2.6912458|1
shuwarutsueneggā|シュワルツェネッガー|1|2.13075|2.13075|1
Schwarzenegger|シュワルツェネッガー|1|2.1318583|2.1318583|1
Erebētā|エレベーターガール|1|0.75372577|0.75372577|1
Erebêtâ|エレベーターガール|1|0.75372577|0.75372577|1
ｽﾎﾟｰﾂｶｰｼﾘｰｽﾞ|スポーツカーシリーズ|1|2.1318583|2.1318583|1
Supōtsukāshirīzu|スポーツカーシリーズ|1|0.75372577|0.75372577|1
Supôtsukâshirîzu|スポーツカーシリーズ|1|0.75372577|0.75372577|1
Kūdetā|クーデター|1|0.75372577|0.75372577|1
Kûdetâ|クーデター|1|0.75372577|0.75372577|1
coup d'état|クーデター|1|2.6019945|2.6019945|1
圏句号|。|1|3.3271065|3.3271065|1
句点|。|1|2.971484|2.971484|1
.|。|1|0.75372577|0.75372577|1
〜概要〜|概要|1|4.953991|4.953991|1
『笑い』|笑い|1|5.295993|5.295993|1
ワライ|笑い|1|2.1318583|2.1318583|1
わらい|笑い|1|2.5623608|2.5623608|1
(≧▽≦)|笑い|1|0.75372577|0.75372577|1
ﾒ|メ|1|2.1318583|2.1318583|1
ㄨ|メ|1|2.1318583|2.1318583|1
〤|メ|1|2.1318583|2.1318583|1
㐅|メ|1|2.1318583|2.1318583|1
ナ|メ|1|2.1318583|2.1318583|1
乄|メ|1|2.1318583|2.1318583|1
ケ|ク|1|2.1318583|2.1318583|1
グ|ク|1|2.1318583|2.1318583|1
ク゚|ク|1|2.1318583|2.1318583|1
ｸ|ク|1|2.1318583|2.1318583|1
ㇰ|ク|1|2.1318583|2.1318583|1
齊藤|斉藤|1|4.9887624|4.9887624|1
齋藤|斉藤|1|4.9887624|4.9887624|1
斎藤|斉藤|1|4.9887624|4.9887624|1
渡邉|渡邊|1|4.358449|4.358449|1
渡辺|渡邊|1|4.358449|4.358449|1
劍|剣|1|2.1318583|2.1318583|1
劔|剣|1|2.1318583|2.1318583|1
劒|剣|1|2.1318583|2.1318583|1
剱|剣|1|2.1318583|2.1318583|1
釼|剣|1|2.1318583|2.1318583|1
関西空港|関西国際空港|1|6.6475763|6.6475763|1
Senior Software Engineer|シニアソフトウェアエンジニア|1|3.014903|3.014903|1
