ID_MAIN;LABEL_MAIN;ID_LOOKUP1;LABEL_LOOKUP1
1;1_MAIN_A;2;2_LOOKUP_BB
1;1_MAIN_A;3;3_LOOKUP_CCC
1;1_MAIN_A;4;4_LOOKUP_DDDD
1;1_MAIN_A;2;2_LOOKUP_BB
1;1_MAIN_A;3;3_LOOKUP_CCC
1;1_MAIN_A;4;4_LOOKUP_DDDD
2;2_MAIN_BB;2;2_LOOKUP_BB
2;2_MAIN_BB;3;3_LOOKUP_CCC
2;2_MAIN_BB;4;4_LOOKUP_DDDD
3;3_MAIN_CCC;2;2_LOOKUP_BB
3;3_MAIN_CCC;3;3_LOOKUP_CCC
3;3_MAIN_CCC;4;4_LOOKUP_DDDD
4;4_MAIN_DDDD;2;2_LOOKUP_BB
4;4_MAIN_DDDD;3;3_LOOKUP_CCC
4;4_MAIN_DDDD;4;4_LOOKUP_DDDD
5;5_MAIN_EEEEE;2;2_LOOKUP_BB
5;5_MAIN_EEEEE;3;3_LOOKUP_CCC
5;5_MAIN_EEEEE;4;4_LOOKUP_DDDD
