category;name;summary_company;summary_model;summary_sales;summary_unit;manufacture_id;manufacture_name;manufacture_date;type_model;type_type;type_manufacture_id;sales_unit;sales_type;sales_quater;sales_income
1;laptop;DELL, HP;12345678910.12345;Dollars;business;manu_1;2012-10-30;DELL;business1;DELL123;manu_1;Dollars;DELL123;1;12345
1;laptop;DELL, HP;12345678910.12345;Dollars;business;manu_1;2012-10-30;DELL;business1;DELL123;manu_1;Dollars;DELL456;1;6789
1;laptop;DELL, HP;12345678910.12345;Dollars;business;manu_1;2012-10-30;DELL;business1;DELL123;manu_1;Dollars;HP123;1;12345.123
1;laptop;DELL, HP;12345678910.12345;Dollars;business;manu_1;2012-10-30;DELL;business1;DELL123;manu_1;Dollars;HP456;1;6789.678
1;laptop;DELL, HP;12345678910.12345;Dollars;business;manu_1;2012-10-30;DELL;business2;DELL456;manu_1;Dollars;DELL123;1;12345
1;laptop;DELL, HP;12345678910.12345;Dollars;business;manu_1;2012-10-30;DELL;business2;DELL456;manu_1;Dollars;DELL456;1;6789
1;laptop;DELL, HP;12345678910.12345;Dollars;business;manu_1;2012-10-30;DELL;business2;DELL456;manu_1;Dollars;HP123;1;12345.123
1;laptop;DELL, HP;12345678910.12345;Dollars;business;manu_1;2012-10-30;DELL;business2;DELL456;manu_1;Dollars;HP456;1;6789.678
1;laptop;DELL, HP;12345678910.12345;Dollars;business;manu_1;2012-10-30;DELL;business3;HP123;manu_2;Dollars;DELL123;1;12345
1;laptop;DELL, HP;12345678910.12345;Dollars;business;manu_1;2012-10-30;DELL;business3;HP123;manu_2;Dollars;DELL456;1;6789
1;laptop;DELL, HP;12345678910.12345;Dollars;business;manu_1;2012-10-30;DELL;business3;HP123;manu_2;Dollars;HP123;1;12345.123
1;laptop;DELL, HP;12345678910.12345;Dollars;business;manu_1;2012-10-30;DELL;business3;HP123;manu_2;Dollars;HP456;1;6789.678
1;laptop;DELL, HP;12345678910.12345;Dollars;business;manu_1;2012-10-30;DELL;business4;HP456;manu_2;Dollars;DELL123;1;12345
1;laptop;DELL, HP;12345678910.12345;Dollars;business;manu_1;2012-10-30;DELL;business4;HP456;manu_2;Dollars;DELL456;1;6789
1;laptop;DELL, HP;12345678910.12345;Dollars;business;manu_1;2012-10-30;DELL;business4;HP456;manu_2;Dollars;HP123;1;12345.123
1;laptop;DELL, HP;12345678910.12345;Dollars;business;manu_1;2012-10-30;DELL;business4;HP456;manu_2;Dollars;HP456;1;6789.678
1;laptop;DELL, HP;12345678910.12345;Dollars;business;manu_2;2012-10-28;HP;business1;DELL123;manu_1;Dollars;DELL123;1;12345
1;laptop;DELL, HP;12345678910.12345;Dollars;business;manu_2;2012-10-28;HP;business1;DELL123;manu_1;Dollars;DELL456;1;6789
1;laptop;DELL, HP;12345678910.12345;Dollars;business;manu_2;2012-10-28;HP;business1;DELL123;manu_1;Dollars;HP123;1;12345.123
1;laptop;DELL, HP;12345678910.12345;Dollars;business;manu_2;2012-10-28;HP;business1;DELL123;manu_1;Dollars;HP456;1;6789.678
1;laptop;DELL, HP;12345678910.12345;Dollars;business;manu_2;2012-10-28;HP;business2;DELL456;manu_1;Dollars;DELL123;1;12345
1;laptop;DELL, HP;12345678910.12345;Dollars;business;manu_2;2012-10-28;HP;business2;DELL456;manu_1;Dollars;DELL456;1;6789
1;laptop;DELL, HP;12345678910.12345;Dollars;business;manu_2;2012-10-28;HP;business2;DELL456;manu_1;Dollars;HP123;1;12345.123
1;laptop;DELL, HP;12345678910.12345;Dollars;business;manu_2;2012-10-28;HP;business2;DELL456;manu_1;Dollars;HP456;1;6789.678
1;laptop;DELL, HP;12345678910.12345;Dollars;business;manu_2;2012-10-28;HP;business3;HP123;manu_2;Dollars;DELL123;1;12345
1;laptop;DELL, HP;12345678910.12345;Dollars;business;manu_2;2012-10-28;HP;business3;HP123;manu_2;Dollars;DELL456;1;6789
1;laptop;DELL, HP;12345678910.12345;Dollars;business;manu_2;2012-10-28;HP;business3;HP123;manu_2;Dollars;HP123;1;12345.123
1;laptop;DELL, HP;12345678910.12345;Dollars;business;manu_2;2012-10-28;HP;business3;HP123;manu_2;Dollars;HP456;1;6789.678
1;laptop;DELL, HP;12345678910.12345;Dollars;business;manu_2;2012-10-28;HP;business4;HP456;manu_2;Dollars;DELL123;1;12345
1;laptop;DELL, HP;12345678910.12345;Dollars;business;manu_2;2012-10-28;HP;business4;HP456;manu_2;Dollars;DELL456;1;6789
1;laptop;DELL, HP;12345678910.12345;Dollars;business;manu_2;2012-10-28;HP;business4;HP456;manu_2;Dollars;HP123;1;12345.123
1;laptop;DELL, HP;12345678910.12345;Dollars;business;manu_2;2012-10-28;HP;business4;HP456;manu_2;Dollars;HP456;1;6789.678
