DLut;30;02-01-2007;true
DLut;20;03-01-2007;false
TSinghua;30;02-01-2007;false
DLut;20;02-01-2007;true
Beijing;10;02-01-2007;false
TSinghua;20;02-01-2007;true
DLut;20;03-01-2007;false
Beijing;10;02-01-2007;true
Beijing;10;02-01-2007;true
Beijing;10;01-01-2007;false
TSinghua;20;02-01-2007;false
Beijing;30;02-01-2007;false
Beijing;20;03-01-2007;true
Beijing;20;01-01-2007;true
Beijing;20;02-01-2007;false
DLut;30;03-01-2007;true
DLut;20;01-01-2007;false
TSinghua;30;02-01-2007;false
Beijing;30;03-01-2007;false
Beijing;20;02-01-2007;true
